age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,capital-gain_log,capital-loss_log
43,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,0.0,0.0
46,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,<=50K,0.0,0.0
35,Private,11,Married-civ-spouse,Other-service,Husband,White,Male,40,Puerto-Rico,<=50K,0.0,0.0
41,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,United-States,<=50K,0.0,0.0
30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,8.519989278718239,0.0
30,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,7.786551806428712,0.0
32,Unknown,4,Married-spouse-absent,Unknown,Not-in-family,White,Male,40,Unknown,<=50K,0.0,0.0
48,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0.0,0.0
42,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0.0,0.0
29,Private,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,<=50K,0.0,0.0
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.0,0.0
28,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
53,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,0.0,0.0
49,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.0,0.0
25,Unknown,10,Never-married,Unknown,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
19,Private,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,<=50K,0.0,0.0
31,Private,13,Separated,Sales,Own-child,Black,Female,40,United-States,<=50K,0.0,0.0
29,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,70,United-States,>50K,0.0,0.0
23,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
79,Private,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,20,United-States,<=50K,0.0,0.0
27,Private,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,<=50K,0.0,0.0
40,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,0.0,0.0
67,Unknown,6,Married-civ-spouse,Unknown,Husband,White,Male,2,United-States,<=50K,0.0,0.0
18,Private,7,Never-married,Other-service,Own-child,White,Female,22,United-States,<=50K,0.0,0.0
31,Local-gov,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,0.0,0.0
18,Private,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,<=50K,0.0,0.0
52,Private,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Cuba,<=50K,0.0,0.0
46,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K,0.0,0.0
59,Private,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,<=50K,0.0,0.0
44,Private,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,>50K,9.571156728415465,0.0
53,Private,9,Divorced,Sales,Own-child,White,Female,35,United-States,<=50K,0.0,0.0
49,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0.0,0.0
33,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,0.0,0.0
30,Private,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
43,Federal-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,0.0,0.0
57,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.0,0.0
37,Private,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,<=50K,0.0,0.0
28,Private,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,<=50K,0.0,0.0
30,Private,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,35,Unknown,<=50K,0.0,7.3613754289773485
34,Local-gov,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,0.0,0.0
29,Local-gov,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,<=50K,0.0,0.0
48,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.0,7.551186867296149
37,Private,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,>50K,0.0,0.0
48,Private,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,<=50K,0.0,0.0
32,Federal-gov,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,<=50K,0.0,0.0
76,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.0,0.0
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,9.617470759403409,0.0
47,Self-emp-not-inc,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K,0.0,0.0
20,Private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
29,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
32,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,8.94754601503218,0.0
17,Unknown,6,Never-married,Unknown,Own-child,White,Female,32,United-States,<=50K,10.436935354338399,0.0
30,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
31,Local-gov,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
42,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0.0,0.0
24,Private,13,Never-married,Sales,Other-relative,White,Male,40,United-States,<=50K,0.0,0.0
38,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.0,0.0
56,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Canada,>50K,0.0,7.543273346705446
28,Private,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,<=50K,8.310169021981912,0.0
36,Private,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
53,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,<=50K,0.0,0.0
56,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.0,0.0
49,Local-gov,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,0.0,0.0
55,Private,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,<=50K,0.0,0.0
22,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,<=50K,0.0,0.0
21,Private,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,0.0,0.0
30,Private,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,<=50K,0.0,0.0
29,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,0.0,0.0
19,Private,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,<=50K,0.0,0.0
47,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,0.0,0.0
20,Private,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,<=50K,0.0,7.450079569807499
31,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,0.0,0.0
35,Unknown,9,Married-civ-spouse,Unknown,Husband,White,Male,40,United-States,<=50K,0.0,0.0
39,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
28,Private,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,<=50K,0.0,0.0
24,Private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,<=50K,0.0,7.47477218239787
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,8.386400901166214,0.0
37,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.0,0.0
46,Private,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,<=50K,0.0,0.0
38,Federal-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Iran,>50K,0.0,0.0
43,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,0.0,0.0
27,Private,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,0.0,0.0
20,Private,10,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,0.0,0.0
49,Private,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,>50K,0.0,0.0
61,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.0,0.0
27,Private,10,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
19,Private,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,<=50K,0.0,0.0
45,Private,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,0.0,7.355641102974253
70,Private,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,<=50K,0.0,0.0
31,Private,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,<=50K,0.0,0.0
22,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,<=50K,0.0,0.0
36,Private,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,<=50K,0.0,0.0
64,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.0,7.687080155783135
43,Unknown,10,Divorced,Unknown,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
47,Local-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,<=50K,0.0,0.0
34,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
33,Private,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,<=50K,0.0,0.0
21,Private,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,0.0,0.0
52,Unknown,9,Divorced,Unknown,Not-in-family,White,Male,45,United-States,>50K,0.0,0.0
48,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,<=50K,0.0,0.0
23,Private,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
71,Self-emp-not-inc,10,Separated,Sales,Unmarried,Black,Male,2,United-States,<=50K,0.0,7.504942068396171
29,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,0.0,0.0
42,Private,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,<=50K,0.0,0.0
68,Unknown,2,Divorced,Unknown,Not-in-family,White,Female,20,United-States,<=50K,0.0,0.0
25,Private,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K,0.0,0.0
44,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,<=50K,0.0,0.0
28,Private,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,<=50K,0.0,0.0
45,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.0,0.0
36,Private,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,<=50K,0.0,0.0
39,Federal-gov,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,<=50K,0.0,0.0
46,State-gov,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,<=50K,0.0,0.0
18,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,<=50K,0.0,0.0
66,Local-gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,<=50K,0.0,0.0
27,Private,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,0.0,7.591357046698551
28,State-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,0.0,0.0
51,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.0,7.589841512182657
27,Private,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,0.0,0.0
28,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.0,0.0
27,Private,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,<=50K,0.0,0.0
21,Private,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,0.0,0.0
34,Private,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,0.0,0.0
18,Private,9,Never-married,Other-service,Own-child,White,Male,12,United-States,<=50K,0.0,0.0
33,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,<=50K,0.0,0.0
44,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K,0.0,0.0
43,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
30,Private,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,<=50K,0.0,0.0
40,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,>50K,0.0,0.0
37,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,>50K,0.0,0.0
34,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,<=50K,0.0,0.0
41,Self-emp-not-inc,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
53,Unknown,13,Divorced,Unknown,Not-in-family,White,Female,50,United-States,<=50K,0.0,0.0
31,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,<=50K,0.0,0.0
58,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,>50K,0.0,0.0
38,Private,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,<=50K,0.0,0.0
24,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,0.0,0.0
41,Local-gov,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,0.0,0.0
47,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,<=50K,0.0,0.0
41,Federal-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,<=50K,0.0,0.0
23,Private,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Mexico,<=50K,0.0,0.0
36,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
40,Federal-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K,9.552865680310473,0.0
35,Private,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,>50K,8.895492631451633,0.0
24,Self-emp-not-inc,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
26,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.0,7.537430036586509
19,Unknown,9,Never-married,Unknown,Own-child,White,Male,40,Italy,<=50K,0.0,0.0
51,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.0,0.0
42,Local-gov,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.0,7.201170883281678
37,State-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K,0.0,0.0
18,Private,7,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
36,Private,13,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,>50K,8.895492631451633,0.0
35,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,<=50K,0.0,0.0
58,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,>50K,9.617470759403409,0.0
17,Private,7,Never-married,Sales,Own-child,White,Female,12,United-States,<=50K,0.0,0.0
44,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,0.0,0.0
37,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0.0,0.0
35,Private,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,0.0,0.0
60,Private,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,<=50K,0.0,0.0
54,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,0.0,0.0
37,Private,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,>50K,0.0,0.0
50,Private,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
38,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,Poland,<=50K,0.0,0.0
45,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,<=50K,0.0,0.0
25,Private,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
31,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,0.0,0.0
64,Unknown,2,Divorced,Unknown,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
90,Private,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,0.0,7.699389406256737
54,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,20,United-States,<=50K,0.0,0.0
53,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,<=50K,0.0,0.0
18,Private,9,Never-married,Sales,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
60,Unknown,6,Divorced,Unknown,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,<=50K,0.0,0.0
66,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,7.251344983372214,0.0
75,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,<=50K,0.0,0.0
65,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,0.0,0.0
35,Private,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,<=50K,8.209308411646937,0.0
41,Private,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,<=50K,0.0,0.0
25,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,<=50K,0.0,0.0
33,Private,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,<=50K,0.0,0.0
28,Private,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,>50K,0.0,0.0
59,State-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,0.0,0.0
40,State-gov,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K,0.0,0.0
41,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Iran,>50K,0.0,0.0
38,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,>50K,0.0,0.0
23,Private,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,0.0,0.0
41,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,<=50K,0.0,0.0
24,State-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,<=50K,0.0,0.0
20,Unknown,10,Never-married,Unknown,Own-child,White,Male,20,United-States,<=50K,0.0,0.0
38,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.0,7.462789157412448
56,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,35,Unknown,<=50K,0.0,0.0
58,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K,0.0,0.0
32,Private,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,<=50K,0.0,0.0
40,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,>50K,0.0,7.589841512182657
45,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Unknown,<=50K,0.0,0.0
41,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,0.0,0.0
42,Private,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,<=50K,0.0,0.0
59,Local-gov,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,<=50K,0.0,0.0
19,Local-gov,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
58,Private,10,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,<=50K,0.0,0.0
42,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,>50K,0.0,0.0
20,Private,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
32,Private,9,Separated,Other-service,Not-in-family,White,Female,30,United-States,<=50K,0.0,0.0
45,Private,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,<=50K,0.0,0.0
50,Private,4,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
36,Private,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,0.0,0.0
45,Private,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K,0.0,0.0
