age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,is_senior,capital-gain_log,capital-loss_log,education_per_age,work_gain_ratio,is_married,gender_role,age_group,income
38,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0,0.0,0.0,0.3684210526315789,40.0,1,Male_Husband,35–45,0
30,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,0,0.0,0.0,0.3,40.0,0,Female_Not-in-family,25–35,0
19,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,35,United-States,0,0.0,0.0,0.5263157894736842,35.0,0,Female_Own-child,<25,0
18,Private,11th,7,Never-married,Prof-specialty,Other-relative,White,Male,0,0,3,United-States,0,0.0,0.0,0.3888888888888889,3.0,0,Male_Other-relative,<25,0
43,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.32558139534883723,40.0,1,Male_Husband,35–45,1
38,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.23684210526315788,40.0,1,Male_Husband,35–45,0
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,0.0,0.0,0.4090909090909091,40.0,0,Male_Own-child,<25,0
37,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.24324324324324326,40.0,0,Male_Not-in-family,35–45,0
43,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.3023255813953488,40.0,0,Male_Not-in-family,35–45,1
47,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0,0.0,0.0,0.2127659574468085,50.0,1,Male_Husband,45–55,0
43,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.3488372093023256,60.0,1,Male_Husband,35–45,1
45,Private,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,0,0.0,0.0,0.28888888888888886,55.0,0,Female_Not-in-family,35–45,0
37,Private,Some-college,10,Never-married,Tech-support,Own-child,Black,Female,0,0,40,United-States,0,0.0,0.0,0.2702702702702703,40.0,0,Female_Own-child,35–45,0
31,Private,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,Mexico,0,0.0,0.0,0.06451612903225806,45.0,1,Male_Husband,25–35,0
41,Private,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.3170731707317073,40.0,0,Male_Not-in-family,35–45,0
17,Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,17,United-States,0,0.0,0.0,0.4117647058823529,17.0,0,Male_Own-child,<25,0
62,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,90,United-States,1,0.0,0.0,0.14516129032258066,90.0,1,Male_Husband,55–65,1
24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.4583333333333333,40.0,1,Male_Husband,<25,0
36,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,0,0.0,0.0,0.25,38.0,1,Male_Husband,35–45,0
52,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,0,0.0,0.0,0.19230769230769232,40.0,1,Male_Husband,45–55,1
27,Private,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,0.0,0.0,0.48148148148148145,50.0,1,Male_Not-in-family,25–35,0
17,Private,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,0,0.0,0.0,0.4117647058823529,15.0,0,Female_Own-child,<25,0
20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,12,Canada,0,0.0,0.0,0.5,12.0,0,Male_Own-child,<25,0
21,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,32,United-States,0,0.0,0.0,0.42857142857142855,32.0,0,Male_Not-in-family,<25,0
55,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.16363636363636364,60.0,1,Male_Husband,45–55,0
17,Private,10th,6,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0,0.0,0.0,0.35294117647058826,12.0,0,Female_Own-child,<25,0
54,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5178,0,50,United-States,0,8.552367266423891,0.0,0.16666666666666666,477.6183633211946,1,Male_Husband,45–55,1
29,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.3793103448275862,40.0,1,Male_Husband,25–35,0
33,Private,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Female,0,0,20,United-States,0,0.0,0.0,0.2727272727272727,20.0,0,Female_Unmarried,25–35,0
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,30,United-States,0,0.0,0.0,0.5,30.0,0,Female_Own-child,<25,0
43,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0.0,0.0,0.20930232558139536,40.0,0,Female_Unmarried,35–45,0
45,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,0,0.0,0.0,0.28888888888888886,40.0,1,Male_Husband,35–45,0
53,Self-emp-inc,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Mexico,0,0.0,0.0,0.05660377358490566,40.0,1,Male_Husband,45–55,1
17,Private,10th,6,Never-married,Sales,Own-child,White,Female,0,0,10,United-States,0,0.0,0.0,0.35294117647058826,10.0,0,Female_Own-child,<25,0
38,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Canada,0,0.0,0.0,0.34210526315789475,40.0,1,Male_Husband,35–45,0
60,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,1,0.0,0.0,0.06666666666666667,40.0,1,Female_Wife,55–65,0
53,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,55,United-States,0,0.0,7.551186867296149,0.24528301886792453,55.0,1,Male_Husband,45–55,1
51,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.19607843137254902,40.0,1,Male_Husband,45–55,0
21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,0,0.0,0.0,0.47619047619047616,25.0,0,Female_Own-child,<25,0
19,Private,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0,0.0,0.0,0.5263157894736842,40.0,0,Female_Other-relative,<25,0
17,Private,11th,7,Never-married,Sales,Unmarried,White,Male,0,0,15,United-States,0,0.0,0.0,0.4117647058823529,15.0,0,Male_Unmarried,<25,0
29,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0,0.0,0.0,0.3793103448275862,50.0,1,Male_Husband,25–35,0
38,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.3684210526315789,60.0,1,Male_Husband,35–45,1
52,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.21153846153846154,40.0,1,Male_Husband,45–55,1
49,Private,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,0,0.0,0.0,0.22448979591836735,38.0,0,Female_Not-in-family,45–55,0
41,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0,0.0,0.0,0.21951219512195122,40.0,1,Female_Wife,35–45,0
50,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Canada,0,0.0,0.0,0.26,40.0,1,Male_Husband,45–55,1
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0,0.0,0.0,0.3939393939393939,45.0,1,Male_Husband,25–35,0
41,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,3137,0,40,United-States,0,8.051340933292979,0.0,0.24390243902439024,362.05363733171913,1,Male_Husband,35–45,0
28,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.4642857142857143,40.0,0,Male_Not-in-family,25–35,0
20,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0,0.0,0.0,0.45,20.0,0,Female_Own-child,<25,0
50,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.22,40.0,1,Male_Husband,45–55,0
19,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,38,United-States,0,0.0,0.0,0.5263157894736842,38.0,0,Female_Own-child,<25,0
30,Private,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,0.0,0.0,0.3,40.0,0,Male_Own-child,25–35,0
39,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.23076923076923078,40.0,1,Male_Husband,35–45,0
34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,0,0.0,0.0,0.2647058823529412,70.0,1,Male_Husband,25–35,0
42,Private,Preschool,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Nicaragua,0,0.0,0.0,0.023809523809523808,40.0,1,Male_Husband,35–45,0
45,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0,0.0,0.0,0.2,40.0,1,Male_Husband,35–45,0
43,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,25,United-States,0,0.0,0.0,0.16279069767441862,25.0,1,Female_Wife,35–45,0
46,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.1956521739130435,40.0,1,Male_Husband,45–55,0
39,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0,0.0,0.0,0.358974358974359,40.0,1,Female_Wife,35–45,1
49,Private,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,0,0,40,United-States,0,0.0,0.0,0.1836734693877551,40.0,0,Female_Own-child,45–55,0
33,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.45454545454545453,40.0,0,Male_Not-in-family,25–35,1
44,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.20454545454545456,40.0,1,Male_Husband,35–45,1
42,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.21428571428571427,40.0,1,Male_Husband,35–45,0
74,State-gov,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,1,0.0,8.211754397375197,0.21621621621621623,20.0,0,Female_Other-relative,65+,1
57,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0,0.0,0.0,0.15789473684210525,30.0,1,Male_Husband,55–65,0
24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,0,0.0,0.0,0.4166666666666667,30.0,0,Female_Own-child,<25,0
59,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.15254237288135594,40.0,1,Male_Husband,55–65,1
21,Private,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,0,0.0,0.0,0.47619047619047616,20.0,0,Female_Own-child,<25,0
31,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.2903225806451613,40.0,0,Male_Not-in-family,25–35,0
36,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.3611111111111111,40.0,0,Male_Not-in-family,35–45,0
30,Private,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,36,United-States,0,0.0,0.0,0.3333333333333333,36.0,0,Female_Unmarried,25–35,0
49,Private,7th-8th,4,Never-married,Prof-specialty,Other-relative,Black,Male,0,0,45,United-States,0,0.0,0.0,0.08163265306122448,45.0,0,Male_Other-relative,45–55,0
17,Private,12th,8,Never-married,Prof-specialty,Own-child,Other,Female,0,0,40,United-States,0,0.0,0.0,0.47058823529411764,40.0,0,Female_Own-child,<25,0
69,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,10,United-States,1,0.0,0.0,0.13043478260869565,10.0,1,Male_Husband,65+,0
47,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,4650,0,40,United-States,0,8.444837529224097,0.0,0.19148936170212766,377.79350116896387,0,Male_Not-in-family,45–55,0
21,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0,0.0,0.0,0.47619047619047616,40.0,0,Female_Own-child,<25,0
48,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,40,United-States,0,8.94754601503218,0.0,0.2708333333333333,397.90184060128723,1,Female_Wife,45–55,1
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.1836734693877551,40.0,1,Male_Husband,45–55,1
55,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.23636363636363636,40.0,1,Male_Husband,45–55,1
17,Self-emp-not-inc,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,0,0.0,0.0,0.35294117647058826,24.0,0,Female_Own-child,<25,0
46,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.21739130434782608,40.0,1,Male_Husband,45–55,1
29,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.4482758620689655,60.0,1,Male_Husband,25–35,0
42,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.23809523809523808,40.0,1,Male_Husband,35–45,0
20,Private,9th,5,Never-married,Other-service,Unmarried,White,Male,0,0,30,Mexico,0,0.0,0.0,0.25,30.0,0,Male_Unmarried,<25,0
41,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0,0.0,0.0,0.3170731707317073,40.0,0,Male_Not-in-family,35–45,1
30,Private,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0,0.0,0.0,0.3333333333333333,40.0,0,Female_Unmarried,25–35,0
46,Private,Assoc-voc,11,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,0,0.0,0.0,0.2391304347826087,40.0,0,Male_Not-in-family,45–55,0
32,Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,0,0.0,0.0,0.40625,50.0,1,Male_Husband,25–35,1
21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,0,0.0,0.0,0.47619047619047616,35.0,0,Male_Own-child,<25,0
27,Private,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,65,United-States,0,0.0,0.0,0.48148148148148145,65.0,0,Male_Not-in-family,25–35,0
59,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.23728813559322035,40.0,1,Male_Husband,55–65,1
50,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.2,60.0,1,Male_Husband,45–55,1
30,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0,0.0,0.0,0.3333333333333333,40.0,1,Female_Wife,25–35,0
41,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0,0.0,0.0,0.3170731707317073,40.0,1,Female_Wife,35–45,1
19,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0,0.0,0.0,0.47368421052631576,40.0,0,Female_Unmarried,<25,0
21,Private,1st-4th,2,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,England,0,0.0,0.0,0.09523809523809523,40.0,1,Male_Other-relative,<25,0
45,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,0,0.0,0.0,0.2222222222222222,41.0,0,Male_Not-in-family,35–45,0
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States,0,0.0,0.0,0.45161290322580644,30.0,0,Male_Not-in-family,25–35,0
27,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,0,0.0,0.0,0.3333333333333333,35.0,0,Female_Own-child,25–35,0
42,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0,0.0,0.0,0.21428571428571427,40.0,0,Female_Not-in-family,35–45,0
67,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Canada,1,0.0,0.0,0.13432835820895522,40.0,1,Male_Husband,65+,1
23,Private,HS-grad,9,Never-married,Priv-house-serv,Unmarried,Other,Female,0,0,40,Guatemala,0,0.0,0.0,0.391304347826087,40.0,0,Female_Unmarried,<25,0
36,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2407,0,40,United-States,0,7.786551806428712,0.0,0.3611111111111111,351.46207225714846,1,Male_Husband,35–45,0
28,Private,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,0,0.0,0.0,0.35714285714285715,40.0,0,Female_Other-relative,25–35,0
51,Local-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1628,30,United-States,0,0.0,7.395721608602045,0.23529411764705882,30.0,1,Female_Wife,45–55,0
29,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,0,0.0,0.0,0.3103448275862069,50.0,0,Female_Unmarried,25–35,0
35,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2885,0,40,United-States,0,7.9676267393338165,0.0,0.2571428571428571,358.70506957335266,1,Male_Husband,25–35,0
29,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.3448275862068966,40.0,1,Male_Husband,25–35,0
34,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.2647058823529412,40.0,1,Male_Husband,25–35,0
27,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,0.0,0.0,0.37037037037037035,50.0,1,Male_Husband,25–35,0
19,Private,12th,8,Never-married,Prof-specialty,Own-child,White,Male,0,0,28,United-States,0,0.0,0.0,0.42105263157894735,28.0,0,Male_Own-child,<25,0
22,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,0,0.0,0.0,0.4090909090909091,35.0,0,Male_Not-in-family,<25,0
20,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0,0.0,0.0,0.5,40.0,0,Female_Own-child,<25,0
72,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,1,0.0,0.0,0.08333333333333333,15.0,1,Male_Husband,65+,0
45,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,0,8.94754601503218,0.0,0.3111111111111111,497.377300751609,1,Male_Husband,35–45,1
32,State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,49,United-States,0,0.0,0.0,0.28125,49.0,1,Male_Husband,25–35,1
42,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0,0.0,0.0,0.21428571428571427,40.0,0,Male_Unmarried,35–45,0
33,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.2727272727272727,40.0,1,Male_Husband,25–35,0
51,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0,0.0,0.0,0.17647058823529413,40.0,1,Female_Other-relative,45–55,0
24,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0,0.0,0.0,0.5416666666666666,40.0,0,Male_Own-child,<25,0
46,Private,7th-8th,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,0,0.0,0.0,0.08695652173913043,45.0,1,Female_Wife,45–55,0
56,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,0,0.0,0.0,0.17857142857142858,35.0,1,Male_Husband,55–65,0
65,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,10605,0,40,United-States,1,9.269175157697076,0.0,0.2,410.76700630788304,1,Male_Husband,55–65,1
39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0,0.0,0.0,0.23076923076923078,40.0,1,Female_Wife,35–45,1
45,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,0,0.0,0.0,0.2222222222222222,80.0,1,Male_Husband,35–45,0
23,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,25,United-States,0,0.0,0.0,0.5652173913043478,25.0,0,Female_Not-in-family,<25,0
50,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0.0,0.0,0.2,40.0,0,Female_Not-in-family,45–55,0
32,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,0,0.0,0.0,0.28125,40.0,0,Female_Own-child,25–35,0
33,Private,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0,0.0,0.0,0.30303030303030304,40.0,0,Female_Unmarried,25–35,0
42,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,4650,0,40,United-States,0,8.444837529224097,0.0,0.3333333333333333,377.79350116896387,0,Male_Not-in-family,35–45,0
49,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.2653061224489796,40.0,1,Male_Husband,45–55,1
51,Private,HS-grad,9,Separated,Prof-specialty,Not-in-family,Black,Male,0,0,6,United-States,0,0.0,0.0,0.17647058823529413,6.0,0,Male_Not-in-family,45–55,0
52,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,48,United-States,0,0.0,0.0,0.17307692307692307,48.0,1,Male_Husband,45–55,0
21,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0,0.0,0.0,0.42857142857142855,35.0,0,Male_Own-child,<25,0
